Menu_Item,Sales_Category,Menu_Category,Menu_Item_Void_Quantity,Voids,Menu_Item_Quantity,Gross_Sales,Discounts,Net_Sales,Sales_Percentage,Tax_1,Tax_2,Tax_3
 Espresso,Drinks,Hot Drinks,26,$84.30,382,"$1,245.75",$39.03,"$1,206.72",0.37,$60.34,$0.00,$0.00
1 Pint Gelato,Food,GELATO,0,$0.00,91,"$1,179.45",$50.63,"$1,128.82",0.35,$56.44,$0.00,$0.00
1 lb Coffee Beans,Food,Extra,0,$0.00,102,"$1,836.00",$81.00,"$1,755.00",0.54,$87.75,$0.00,$0.00
100g Black Tin - English Breakfast - Black Loose Leaf Tea,Teas,Teas,1,$25.00,3,$75.00,$12.50,$62.50,0.02,$3.13,$0.00,$0.00
100g Black Tin - Floral Jasmine - Green Loose Leaf Tea,Teas,Teas,0,$0.00,8,$200.00,$20.00,$180.00,0.06,$9.00,$0.00,$0.00
100g Black Tin - Imperial Earl Grey - Black Loose Leaf Tea,Teas,Teas,0,$0.00,5,$125.00,$0.00,$125.00,0.04,$6.25,$0.00,$0.00
100g Black Tin - Masala Chai - Black Loose Leaf Tea ,Teas,Teas,0,$0.00,6,$150.00,$2.50,$147.50,0.05,$7.38,$0.00,$0.00
100g Black Tin - Organic Pear Tree - Green Loose Leaf Tea,Teas,Teas,0,$0.00,5,$125.00,$0.00,$125.00,0.04,$6.25,$0.00,$0.00
12 oz Honey Lavender Latte,Drinks,Hot Drinks,0,$0.00,4,$19.00,$0.00,$19.00,0.01,$0.95,$0.00,$0.00
12 oz Steamed Milk ,Drinks,Hot Drinks,0,$0.00,8,$26.80,$0.00,$26.80,0.01,$1.34,$0.00,$0.00
12oz Americano,Drinks,Hot Drinks,12,$40.85,1535,"$5,098.53",$160.42,"$4,938.11",1.52,$246.90,$0.00,$0.00
12oz Cappuccino,Drinks,Hot Drinks,4,$17.40,390,"$1,727.25",$23.94,"$1,703.31",0.53,$85.17,$0.00,$0.00
12oz Cappucino,Drinks,Hot Drinks,2,$8.00,209,$865.50,$27.98,$837.52,0.26,$41.88,$0.00,$0.00
12oz Chai Latte,Drinks,Hot Drinks,3,$13.55,434,"$1,953.15",$90.96,"$1,862.19",0.57,$93.11,$0.00,$0.00
12oz Drip Coffee,Drinks,Hot Drinks,33,$82.80,2249,"$5,776.85",$215.53,"$5,561.32",1.72,$278.07,$0.00,$0.00
12oz Hot Chocolate,Drinks,Hot Drinks,4,$19.50,612,"$2,948.25",$103.26,"$2,844.99",0.88,$142.25,$0.00,$0.00
12oz Latte,Drinks,Hot Drinks,13,$56.30,1607,"$7,086.06",$261.84,"$6,824.22",2.11,$341.21,$0.00,$0.00
12oz Matcha Latte,Drinks,Hot Drinks,2,$9.50,262,"$1,285.75",$60.52,"$1,225.23",0.38,$61.26,$0.00,$0.00
12oz Mocha,Drinks,Hot Drinks,4,$21.25,468,"$2,504.25",$162.41,"$2,341.84",0.72,$117.09,$0.00,$0.00
16 Oz Cappuccino,Drinks,Hot Drinks,0,$0.00,131,$647.91,$21.83,$626.08,0.19,$31.30,$0.00,$0.00
16 Oz Cappucino,Drinks,Hot Drinks,0,$0.00,90,$422.00,$16.20,$405.80,0.13,$20.29,$0.00,$0.00
16 Oz Frosty Matcha,Drinks,Cold Drinks,-2,$0.00,320,"$2,114.50",$119.39,"$1,995.11",0.62,$99.43,$0.00,$0.00
16 Oz Frosty Strawberry,Drinks,Cold Drinks,1,$6.00,140,$855.00,$55.80,$799.20,0.25,$39.96,$0.00,$0.00
16 Oz Iced Matcha Latte,Drinks,Cold Drinks,0,$0.00,122,$705.75,$42.74,$663.01,0.2,$33.15,$0.00,$0.00
16 Oz Pumpkin Spice Latte,Drinks,Hot Drinks,0,$0.00,7,$40.75,$0.00,$40.75,0.01,$2.04,$0.00,$0.00
16 oz Honey Lavender Latte ,Drinks,Hot Drinks,0,$0.00,4,$22.00,$0.00,$22.00,0.01,$1.10,$0.00,$0.00
16 oz Steamed Milk,Drinks,Hot Drinks,0,$0.00,28,$109.40,$59.12,$50.28,0.02,$2.51,$0.00,$0.00
16oz Americano,Drinks,Hot Drinks,6,$22.25,851,"$3,210.70",$120.36,"$3,090.34",0.95,$154.52,$0.00,$0.00
16oz Chai Latte,Drinks,Hot Drinks,3,$14.65,431,"$2,168.55",$95.50,"$2,073.05",0.64,$103.65,$0.00,$0.00
16oz Drip Coffee,Drinks,Hot Drinks,17,$46.55,1665,"$4,746.20",$156.99,"$4,589.21",1.42,$229.46,$0.00,$0.00
16oz Frosty Blueberry,Drinks,Cold Drinks,0,$0.00,122,$743.25,$36.75,$706.50,0.22,$35.33,$0.00,$0.00
16oz Frosty Espresso,Drinks,Cold Drinks,2,$12.00,220,"$1,339.50",$86.80,"$1,252.70",0.39,$62.64,$0.00,$0.00
16oz Frosty Mango,Drinks,Cold Drinks,-2,$0.00,209,"$1,258.00",$119.50,"$1,138.50",0.35,$56.63,$0.00,$0.00
16oz Frosty Mocha,Drinks,Cold Drinks,9,$54.00,566,"$3,466.50",$195.83,"$3,270.67",1.01,$163.53,$0.00,$0.00
16oz Hot Chocolate,Drinks,Hot Drinks,3,$15.25,430,"$2,296.35",$284.71,"$2,011.64",0.62,$100.58,$0.00,$0.00
16oz Iced Americano,Drinks,Cold Drinks,0,$0.00,354,"$1,354.50",$57.55,"$1,296.95",0.4,$64.85,$0.00,$0.00
16oz Iced Caramel Macchiato,Drinks,Cold Drinks,1,$5.25,356,"$1,902.00",$116.30,"$1,785.70",0.55,$89.29,$0.00,$0.00
16oz Iced Chai Latte,Drinks,Cold Drinks,3,$15.40,212,"$1,097.55",$42.70,"$1,054.85",0.33,$52.74,$0.00,$0.00
16oz Iced Chocolate,Drinks,Cold Drinks,0,$0.00,79,$420.25,$34.90,$385.35,0.12,$19.27,$0.00,$0.00
16oz Iced Latte,Drinks,Cold Drinks,3,$15.30,612,"$3,128.50",$134.34,"$2,994.16",0.92,$149.71,$0.00,$0.00
16oz Iced Mocha,Drinks,Cold Drinks,2,$11.50,394,"$2,312.50",$137.26,"$2,175.24",0.67,$108.76,$0.00,$0.00
16oz Latte,Drinks,Hot Drinks,10,$50.85,1385,"$6,875.25",$313.86,"$6,561.39",2.03,$328.07,$0.00,$0.00
16oz London Fog Tea Latte,Drinks,Hot Drinks,5,$24.90,798,"$4,089.00",$177.18,"$3,911.82",1.21,$195.59,$0.00,$0.00
16oz Matcha Latte,Drinks,Hot Drinks,0,$0.00,207,"$1,177.30",$57.18,"$1,120.12",0.35,$56.01,$0.00,$0.00
16oz Mocha,Drinks,Hot Drinks,3,$18.75,585,"$3,478.50",$241.11,"$3,237.39",1,$161.87,$0.00,$0.00
16oz Slushy Mango,Drinks,Cold Drinks,1,$5.00,4,$16.85,$4.48,$12.37,0,$0.62,$0.00,$0.00
50g Black Tin - Organic Peppermint Leaves - Herbal Loose Leaf Tea,Teas,Teas,0,$0.00,3,$75.00,$21.25,$53.75,0.02,$2.69,$0.00,$0.00
Add Avocado,Food,Hidden Modifiers,0,$0.00,24,$34.00,$0.00,$34.00,0.01,$1.63,$0.00,$0.00
Add Bacon,Food,Hidden Modifiers,0,$0.00,42,$42.00,$0.00,$42.00,0.01,$2.10,$0.00,$0.00
Add Chocolate Syrup,Drinks,Hidden Modifiers,0,$0.00,6,$4.50,$0.00,$4.50,0,$0.23,$0.00,$0.00
Add Egg,Food,Hidden Modifiers,0,$0.00,42,$42.00,$0.00,$42.00,0.01,$2.15,$0.00,$0.00
Almond Birdnest,Pastry,Pastry,0,$0.00,41,$202.95,$4.96,$197.99,0.06,$9.90,$0.00,$0.00
Almond Biscotti,Pastry,Pastry,0,$0.00,10,$49.50,$1.24,$48.26,0.01,$2.41,$0.00,$0.00
Almond Cherry Chocolate,Pastry,Pastry,0,$0.00,5,$24.75,$6.20,$18.55,0.01,$0.93,$0.00,$0.00
Almond Cherry Chocolate Pastry,Pastry,Pastry,0,$0.00,98,$485.10,$104.13,$380.97,0.12,$19.05,$0.00,$0.00
Ambit Sweater,Merchandise,Merchandise,0,$0.00,3,$195.00,$0.00,$195.00,0.06,$9.75,$0.00,$13.65
Ambits Tumbler,Merchandise,Merchandise,0,$0.00,4,$91.80,$18.37,$73.43,0.02,$3.67,$5.14,$0.00
Ambit’s Tumbler,Merchandise,Merchandise,0,$0.00,4,$91.80,$11.09,$80.71,0.02,$4.04,$0.00,$5.65
Avo Salmon,Food,Lunch,10,$123.45,836,"$10,251.40",$686.46,"$9,564.94",2.95,$478.25,$0.00,$0.00
Avocado Stack,Food,Lunch,4,$39.80,162,"$1,667.95",$53.73,"$1,614.22",0.5,$80.71,$0.00,$0.00
Avocado Toast,Food,Breakfast,4,$34.80,1154,"$10,027.25",$528.15,"$9,499.10",2.93,$474.96,$0.00,$0.00
Bacon & Cheese Scone,Pastry,Pastry,2,$8.90,153,$734.35,$60.00,$674.35,0.21,$33.72,$0.00,$0.00
Bacon Breakfast Bagel,Food,Breakfast,1,$7.95,17,$135.15,$32.64,$102.51,0.03,$5.13,$0.00,$0.00
Bacon Breakfast Wrap,Food,Breakfast,14,$111.30,1586,"$12,612.25",$240.33,"$12,371.92",3.82,$618.60,$0.00,$0.00
Bacon Cheese Scone,Pastry,Pastry,0,$0.00,4,$18.00,$0.00,$18.00,0.01,$0.90,$0.00,$0.00
Banana Loaf,Pastry,Pastry,1,$2.95,445,"$1,312.75",$10.36,"$1,302.39",0.4,$65.12,$0.00,$0.00
Barista Box 12oz X 12Cups,Food,Extra,0,$0.00,28,$700.00,$252.50,$447.50,0.14,$22.38,$0.00,$0.00
Blood Orange (Caffeine Free),Teas,Teas,0,$0.00,33,$122.25,$13.00,$109.25,0.03,$5.46,$0.00,$0.00
Blood Orange Caffeine Free,Teas,Teas,0,$0.00,14,$41.86,$2.99,$38.87,0.01,$1.94,$0.00,$0.00
Blueberry Oat Squares,Pastry,Pastry,0,$0.00,240,$948.00,$19.21,$928.79,0.29,$46.44,$0.00,$0.00
Breakfast Sandwich,Food,Breakfast,17,$132.10,1918,"$14,636.36",$596.69,"$14,039.67",4.33,$701.78,$0.00,$0.00
Brownie GF,Pastry,Pastry,3,$14.85,366,"$1,811.70",$50.35,"$1,761.35",0.54,$88.07,$0.00,$0.00
Burnaby Oat Cookie,Pastry,Pastry,0,$0.00,7,$27.65,$1.98,$25.67,0.01,$1.28,$0.00,$0.00
Burnaby Oat Cookies,Pastry,Pastry,2,$7.90,93,$367.35,$3.96,$363.39,0.11,$18.17,$0.00,$0.00
Butter Croissant,Pastry,Pastry,2,$5.90,444,"$1,309.80",$49.42,"$1,260.38",0.39,$63.02,$0.00,$0.00
Butterfly Pea Flower Iced Tea,Drinks,Cold Drinks,0,$0.00,4,$21.20,$5.30,$15.90,0,$0.80,$0.00,$0.00
Butterfly Pea Flowers ,Teas,Teas,0,$0.00,6,$27.00,$2.26,$24.74,0.01,$1.24,$0.00,$0.00
Caramel,Drinks,Hidden Modifiers,0,$0.00,102,$56.10,$0.00,$56.10,0.02,$2.67,$0.00,$0.00
