item_no,quantity,unit,description,menu_types,tax,unit_price,amount,date,produce_company,size,invoice_no,month,num_days
ca72,1.0,No Unit,823NV MILK CALLETS BELGIUM,Drinks,N,$28.75,$28.75,12/1/2020,Produce4,No Size,71569473,12,31
CA71,1.0,No Unit,811NV DARK CHOCOLATE CALLETS,Drinks,N,$26.50,$26.50,12/1/2020,Produce4,No Size,71569473,12,31
BSGTUNG,1.0,No Unit,GUYS-TUSCANY COUNTRY VEG SOUP,Food,N,$37.85,$37.85,12/1/2020,Produce4,No Size,71569473,12,31
SN04019,1.0,No Unit,MUFF BATT CINNAMON COFF 19727,Pastry,N,$29.50,$29.50,12/1/2020,Produce4,No Size,71569473,12,31
SN01598,1.0,No Unit,MUFF BATT CHOCOLATE CHIP 19705,Pastry,N,$27.25,$27.25,12/1/2020,Produce4,No Size,71569473,12,31
STY2767,1.0,No Unit,"BREAD SOURDOUGH 5/8"" SLICED HS",Food,N,$31.23,$31.23,12/1/2020,Produce4,No Size,71569473,12,31
STY2793,2.0,No Unit,BUN HAMBURGER BRIOCHE SLICED,Food,N,$31.65,$63.30,12/1/2020,Produce4,No Size,71569473,12,31
PBF20,1.0,No Unit,MAGEL PLAIN SLICED 4OZ PBF,Food,N,$22.88,$22.88,12/1/2020,Produce4,No Size,71569473,12,31
No_Item_No,1.0,unit,fuel surcharge,Food,G,$3.00,$3.15,12/1/2020,Produce4,No Size,71569473,12,31
WS01786,2.0,No Unit,MPL LF SHREDDED CHICKEN 4X1,Food,N,$89.99,$179.98,12/2/2020,Meat1,135KG/CS,20928,12,31
WS2143,4.0,No Unit,BEEF ROAST COOKED BL GSE OR SLCD PER KG,Food,N,$28.90,$115.60,12/2/2020,Meat1,No Size,20928,12,31
WS3678,1.0,unit,fuel surcharge,Food,G,$5.99,$6.29,12/2/2020,Meat1,No Size,20928,12,31
No_Item_No,2.0,bag,Arrugula/Rucola/Rocket 1# bag yvr,Food,N,$12.95,$25.90,12/2/2020,Produce1,No Size,894091,12,31
No_Item_No,1.0,pkg,herb Thyme 2 oz pkg eh,Food,N,$3.75,$3.75,12/2/2020,Produce1,No Size,894091,12,31
TT-PHCL-D90B,1.0,CS,90mm DOME LID for 10-24oz PAPER HOT CUP - BLACK,Drinks,G,$33.75,$35.44,12/2/2020,Produce6,1000/CS,175279,12,31
EP-#N8W,1.0,CS,#8 EARTHPAK 44OZ PAPER FOOD BOX - WHITE,Food,G,$61.48,$64.55,12/2/2020,Produce6,300PC,175197,12,31
TT-PCJJ-PLN,1.0,CS,INSULATED PAPER CUP SLEEVE - PLAIN,Drinks,G,$36.88,$38.72,12/2/2020,Produce6,1000/CS,175197,12,31
MON-VAN,1.0,BTL,MONIN - VANILLA SYRUP 750ml,Drinks,N,$8.80,$8.80,12/2/2020,Produce6,12/CS,175197,12,31
MON-CAR,1.0,BTL,MONIN - CARAMEL SYRUP 750ml,Drinks,N,$8.80,$8.80,12/2/2020,Produce6,12/CS,175197,12,31
202,2.0,each,K Loaf Banana Cut,Pastry,N,$6.09,$12.18,12/2/2020,Pastry1,No Size,350299,12,31
238,2.0,each,K Loaf Lemon Cut,Pastry,N,$6.96,$13.92,12/2/2020,Pastry1,No Size,350299,12,31
57,2.0,each,K Loaf Red Velvet Cut,Pastry,N,$6.96,$13.92,12/2/2020,Pastry1,No Size,350299,12,31
602,0.5,doz,P Ind. Carrot Cake,Pastry,N,$35.40,$17.70,12/2/2020,Pastry1,No Size,350299,12,31
622,1.0,doz,P Ind. Lava Cake,Pastry,N,$31.80,$31.80,12/2/2020,Pastry1,No Size,350299,12,31
767,1.0,doz,"P Tartlets 4"" French Butter",Pastry,N,$16.20,$16.20,12/2/2020,Pastry1,No Size,350299,12,31
30,1.0,box,K xHoliday Baking Box,Pastry,N,$17.64,$17.64,12/2/2020,Pastry1,No Size,350299,12,31
